FrameNumber, NCC, OriginalFrameNumber, Strip0_NCC, Strip0_XShift, Strip0_YShift, Strip10_NCC, Strip10_XShift, Strip10_YShift, Strip11_NCC, Strip11_XShift, Strip11_YShift, Strip12_NCC, Strip12_XShift, Strip12_YShift, Strip13_NCC, Strip13_XShift, Strip13_YShift, Strip14_NCC, Strip14_XShift, Strip14_YShift, Strip15_NCC, Strip15_XShift, Strip15_YShift, Strip16_NCC, Strip16_XShift, Strip16_YShift, Strip17_NCC, Strip17_XShift, Strip17_YShift, Strip1_NCC, Strip1_XShift, Strip1_YShift, Strip2_NCC, Strip2_XShift, Strip2_YShift, Strip3_NCC, Strip3_XShift, Strip3_YShift, Strip4_NCC, Strip4_XShift, Strip4_YShift, Strip5_NCC, Strip5_XShift, Strip5_YShift, Strip6_NCC, Strip6_XShift, Strip6_YShift, Strip7_NCC, Strip7_XShift, Strip7_YShift, Strip8_NCC, Strip8_XShift, Strip8_YShift, Strip9_NCC, Strip9_XShift, Strip9_YShift, XShift, YShift
1, 0.9712424278259277, 12, 0.9746884107589722, 77, -13, 0.9774162173271179, -78.00060332805842, -0.0006994955685968307, 0.9772108793258667, -75.00013981731533, -9.00029563035639, 0.9764173030853271, 13, -15, 0.9777588248252869, -8.000844122091252, -0.0016989064341714766, 0.9758062958717346, -94, 12, 0.9760785102844238, -38.000178928845486, -2.9992653693623765, 0.9841242432594299, -0.00038193117113394237, -0.0011051378876345552, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9789218306541443, -19, -15, 0.9806845784187317, -24, -11, 0.9818899035453796, -22.00030971626812, -4.000353711525236, 0.9838414788246155, -11.000133556406439, -4.224185772727651e-06, 0.9841748476028442, -5.999533904323968, 0.9999715171979915, 0.9853624701499939, 3.000640246632557, 0.0002097076475990889, 0.9817857146263123, 12.000031206250029, -5.000379908554464, 0.9809674024581909, 15.999924087060023, -10.000604245856664, 0.9791703224182129, 21, -15, -31, 46
2, 0.9735736846923828, 13, 0.985529363155365, -2, 3, 0.9778275489807129, -96.99968416298964, 2.9999091905173145, 0.9778679609298706, -7, -14, 0.9794666171073914, -63.00036749710935, 2.000244844461804, 0.978465735912323, -27.999977593184497, -8.998895062838812, 0.9758400917053223, -56, 11, 0.9773359298706055, 6.9999040585506265, -2.9993594657921108, 0.9779358506202698, 92.00003329470428, 0.0014185401382746932, 0.9804430603981018, 0.0013869022139090248, 0.0010135524889847147, 0.9872519969940186, -1.9987800041405137, 2.9974810601635085, 0.9869277477264404, -2.001530418172379, 2.0000984268831985, 0.9879282712936401, -2.0001582578937445, 1.9995779260683548, 0.9859153628349304, 0.0006946244320857886, 0.9981919224862281, 0.9876838326454163, 0.9989524002524064, -1.0021698583774423, 0.9844100475311279, 1.000010439508742, -3.0009761389771086, 0.9786901473999023, -50, -14, 0.9784718751907349, 3.001651068278818, -6.000041316075055, 0.9790688157081604, 6.999333731121183, -4.999946366538552, -1, 14
3, 0.9999999403953552, 14, 1, -0.00012148471938644434, -0.00021459159546211026, 0.9999997615814209, 6.320590759401057e-05, 7.631739435964846e-07, 0.9999998807907104, 5.560025894624232e-05, 0.00019688428909603317, 0.9999999403953552, -0.00018977087363225564, -0.0004329319471025883, 1, -0.00026432435193157744, -0.00012906360660736027, 1, 7.182728217003387e-05, 0.00097813164092031, 0.9999999403953552, -0.00034178386088967727, -0.0006498392094158589, 0.9999997615814209, 8.627441181374707e-05, 0.0008744970731413559, 1, -0.0004182970263570951, -0.0005834611474710982, 0.9999999403953552, -0.0005158213576521575, 0.00015754095926467926, 1, 0.0006723557073513575, -0.0005235039090223381, 1, 0.00010039006451734167, 0.0004927812335751014, 0.9999998211860657, -0.00012959642049281683, -6.398751995106977e-05, 0.9999999403953552, -0.00017298026439505065, -9.689901662568445e-05, 1, 0.0001971396655449098, 0.00011335769409015484, 1, 3.709342752244993e-05, -0.0006378864342480028, 0.9999999403953552, -0.0002020168113432419, -0.000210610036504022, 0.9999999403953552, -0.0003156441126179743, 0.00033969843275372114, 0, 0
4, 0.9787417054176331, 16, 0.9818077087402344, -4.999001882980025, -0.0006314873988699787, 0.9891842007637024, 2.0002395208313857, -0.00024748050947209776, 0.9901133179664612, 2.0010069418844125, 1.999390886403944, 0.9902379512786865, 1.9981608078257551, 2.0011307946501233, 0.9874340295791626, 0.9992151384678607, 1.0016900799033692, 0.9885613918304443, 1.9981747513011214, -0.9971124774704094, 0.9864368438720703, 3.9993607947776866, -1.0008182143713498, 0.9876646399497986, 5.00077939523355, -2.00034227019853, 0.9873438477516174, 6.99942891297448, -2.0018969077638076, 0.984276533126831, -4.002384229908614, 1.9989324925312033, 0.9855397343635559, -3.00165350377479, 2.0009505619216554, 0.9858009815216064, -2.999605342646788, 2.0007773359765793, 0.9852067828178406, -2.0015294789484273, 2.0000217381434595, 0.9842864274978638, -3.0000156428873908, 0.9982769065769617, 0.9870712161064148, -1.0002817976490235, -1.999692695373568, 0.9904106855392456, -0.9999335458464316, -3.0017170289358432, 0.9892960786819458, -0.0006247498703828569, -3.0002313852193083, 0.9884923696517944, 0.9996559355948875, -1.9997948128959138, 11, -21
5, 0.9730874300003052, 51, 0.9785194993019104, -0.0020796531976827737, -1.0020004258529838, 0.9817247986793518, 0.998783195166439, 0.9990914848353896, 0.9836024045944214, -0.00019317044488786905, -0.0008726811338419793, 0.9820802211761475, -0.00017744171621814075, 0.9995055539549753, 0.9810473918914795, -2.0009092860161246, 0.9995379143188075, 0.9804380536079407, -1.0006702391140863, -0.999173426955565, 0.9809509515762329, 0.9986802402921029, 1.0003337290386867, 0.9794880747795105, 0.9987502725432904, 0.9997265024236413, 0.9810382127761841, 2.9969239417323195, 0.9997655425866014, 0.9791856408119202, -6.000498233658362, -3.0021488019739735, 0.9798046350479126, -7.000625470088039, -2.9997835957442476, 0.9821334481239319, -6.000414810509184, -3.9996631946150387, 0.9803695678710938, -6.999394700071548, -6.0011357385452015, 0.9822052121162415, -5.000589093750349, -6.999366356721964, 0.9816038012504578, -9.999440976533066, -7.000416338121141, 0.9785801768302917, 8, 14, 0.9788659811019897, 5.999016101043125, -2.9994660940324707, 0.9838111996650696, -1.9990324072865207, 0.9990291431437299, -70, -21
6, 0.9737032055854797, 53, 0.9842604994773865, -0.0018639601486256652, -0.0004638168330473036, 0.9815669655799866, 2.0005650878025563, -0.0015388795760031826, 0.9806540608406067, 1.9985972364409434, -0.0028362830572064013, 0.9816309213638306, 0.9992672629513066, -1.0012665351910641, 0.9805374145507812, -1.999841640025295, -4.001073939766229, 0.9798930287361145, -1.0011109821587212, -5.000173983617913, 0.981734037399292, -0.0006351113468241465, -3.999436384455464, 0.9776874780654907, -1.001312570753882, -5.001248200039981, 0.9809367060661316, -3, -5, 0.9760487079620361, -4.001461217018047, 1.9998062569767825, 0.9814618229866028, -8.997834578011876, 2.9987490696548775, 0.9821032285690308, -3.9998094599160794, 5.00090933178744, 0.980396568775177, -6.999565237503774, 3.0007776423524035, 0.9783556461334229, -4.000787923250883, 3.9996976366757337, 0.9795677065849304, 28.000199601091253, -5.999272970175639, 0.9831852912902832, 0.9997162142263107, -0.0014931078704023548, 0.9821006059646606, 1.9995290754121697, -6.258381182533412e-05, 0.9845592379570007, 3.0008561811055188, 0.9989450334662138, -58, -34
7, 0.9742447137832642, 54, 0.9932689666748047, -0.00014146997887110047, -0.0014712448964235847, 0.9818519353866577, 1.0008160629601548, 0.9994570130185707, 0.9831065535545349, 2.999117403316987, 0.9979050937967031, 0.9792418479919434, 0.9998931065082104, 0.9996208539098461, 0.9793736934661865, -0.99872731724966, -1.0003210849089328, 0.9805875420570374, 1.0003456134451767, -1.9990230625917889, 0.9812560081481934, 1.9991993716048029, -2.0004428419703117, 0.9784493446350098, 0.998950813769838, -3.999629491677524, 0.9803908467292786, -1, -5, 0.9767242074012756, -4.001919798864549, -1.0005082234132772, 0.981573224067688, -8.998848312736683, 1.9987224584140222, 0.9819566607475281, -3.000096311411866, 2.0004237639809617, 0.9809200167655945, -0.001025267880947922, 9.00032885975564, 0.9790906310081482, 61, -14, 0.9807672500610352, -0.9990106561560879, -1.0001022034153095, 0.982471764087677, -2.999124964737888, -2.0020681099479134, 0.9821534752845764, -1.9997002613465895, -0.9998370870171698, 0.9830999374389648, 1.0003379050248924, 1.0001669705645782, -53, -46
8, 0.9734558463096619, 55, 0.9932689666748047, -0.00014146997887110047, -0.0014712448964235847, 0.9814833998680115, 1.9993736414060095, 0.9995217588819969, 0.9811303019523621, 0.9994713036347207, 2.9984585802173456, 0.9813021421432495, -0.9994790557459652, 4.001447204425801, 0.9799365997314453, -1.0002740254928995, 3.999251659333879, 0.9809984564781189, -1.0009111512053437, 2.000038869444495, 0.9805186986923218, -0.0007035743134196082, -0.00012443029356745683, 0.9774284362792969, -0.0002402731869466379, -3.0000244615321208, 0.9801657795906067, 3, -3, 0.9859619736671448, 9.229397805654571e-05, 0.0007513878613067959, 0.9788933992385864, 6.000187885048717, 0.9998156248751258, 0.9773183465003967, 88, -15, 0.9759628176689148, 1.0009379883404534, 2.999778830485184, 0.9732840657234192, 24.998696641452867, -4.9997130193614225, 0.9799833297729492, 24.999799583004247, -9.99837143526588, 0.9835402369499207, -1.9993034203802722, -4.0019628221429, 0.9829901456832886, -0.9999948919424639, -2.9998752615163653, 0.9822512269020081, 0.9994650284036055, -1.0012954231257254, -55, -66
9, 0.972780704498291, 74, 0.9765803813934326, 61, -15, 0.9812493920326233, 1.0017634754230613, 0.9996342258818913, 0.9804645776748657, 2.0006455601987767, 1.000388794459809, 0.9798011183738708, 4.000830483506803, 2.999258759853774, 0.9787541627883911, 3.0009743914958733, 0.999568842310282, 0.9843860268592834, -80, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9785634875297546, 1.0009472437463245, 5.000400715157113, 0.9796109795570374, 0.0019191921161763048, 1.9996551139703627, 0.9822766780853271, -1.0002883433682825, 0.0023972633983362357, 0.9808509349822998, 0.9989147449733053, -5.000319375709125, 0.9796656966209412, 2.001176039835997, -2.0013912393005455, 0.9806198477745056, -8.999765264340255, 4.999978838392053, 0.9818267822265625, 0.9994097988487312, -7.99900935564898, 0.9799866080284119, 1.0012200091653511, -3.9997213151025903, 0.9799702763557434, -22, 15, 37, 107
10, 0.9735292196273804, 75, 0.9782500267028809, 99, -15, 0.9814558625221252, 4.000688023259883, 1.000689197436543, 0.9789815545082092, 4.999218243670356, 2.000300868654108, 0.9807425141334534, 4.00230072573342, 3.9997497540723543, 0.9784521460533142, 7, 13, 0.9840777516365051, 6, 14, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9764866828918457, 2.0022294004800614, 4.999437396177761, 0.9793146252632141, -3.9981950097025702, -1.9992596662875144, 0.9821223616600037, -1.9999732146069675, 2.000695705023489, 0.980624794960022, 1.9997408417739564, -1.0002027528009307, 0.9780408143997192, 5.000339959800769, 0.9988666145207787, 0.9794962406158447, -30.00083351743433, 2.9997199901385727, 0.9822888374328613, 2.9992094530287403, -3.0001112386353554, 0.9807807207107544, 6.998758379921398, -0.9993402960382696, 0.9806030988693237, -24, 13, 51, 105
11, 0.9729679822921753, 76, 0.9789548516273499, -4.998796998912255, -4.00195248630564, 0.9803779125213623, 6.0002008118176064, 3.0010610228958967, 0.9811784029006958, 6.998822437875958, 4.000475104789359, 0.9799225926399231, 5.0016448986376645, 6.998532065851293, 0.9778757691383362, 3.9999377945141106, 6.000317616681627, 0.9845499992370605, -31, 12, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9792995452880859, 4.998468328999735, -0.0004559280644897967, 0.9802172183990479, -4.998992067120966, -3.9989825987550347, 0.981514036655426, -0.9999700144616099, 1.0001510435755847, 0.9793571829795837, -2, -13, 0.97916179895401, 6.998554653726572, -1.0008641746530316, 0.9803399443626404, 0.00021211350581040733, 5.998747868299063, 0.9820266962051392, -0.0005017991615403616, -3.0007115099710404, 0.9809221029281616, 5.999770733290688, 3.9976380587397102, 0.9805047512054443, -11, 15, 56, 109
12, 0.9702444076538086, 78, 0.9792191386222839, 96, -15, 0.9794771671295166, -25.99928185379477, -7.998419316737284, 0.9794164299964905, -25, -12, 0.9783217310905457, -23, -15, 0.9788180589675903, -5, -11, 0.9736607074737549, 86, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9789984226226807, -0.9999906052035357, 0.001589493254201102, 0.9805494546890259, -6.998464474526898, -1.999382487273337, 0.9802771806716919, -2.9997510278041517, 3.000860070538181, 0.9800561666488647, -11.999775028434442, 2.0004324545471945, 0.9796616435050964, -14.000268455772357, 3.0001871926843933, 0.9809145927429199, -20.999695053734683, 0.001239304583748435, 0.9824876189231873, -22.99867962574983, -0.0003834161698250682, 0.980659544467926, -25.001348207577593, 0.9991111531475099, 0.9793375134468079, -26.00013239668786, -1.000448120626288, 21, 93
13, 0.9712549448013306, 94, 0.9769447445869446, 102, -15, 0.9796260595321655, 5.999103935226529, 2.0000864775235527, 0.9795859456062317, 4.000447421172737, 4.00046831665702, 0.9783915281295776, 4.998575518491691, 5.999981010996464, 0.9794251918792725, 7.0002510313226765, 5.000212484955171, 0.9806810021400452, -58, 15, 0.9927697777748108, -0.00023889552107903, -0.0011794157804843053, 0.9942640662193298, 0.00013462274435482868, 0.0007920996048369489, 0.9962707757949829, -0.0001929200453929525, 0.0002562605274079033, 0.9778708219528198, -2.0012169420256214, -0.998540981785311, 0.9809871912002563, 104, -10, 0.9811409711837769, -3.9988691311389033, 3.999594054064076, 0.9808735847473145, 2.9994623419233335, -0.9996685706655342, 0.9799925684928894, 63, -15, 0.9797738790512085, 37.99940973624061, -0.0001677877498025282, 0.9814813733100891, 3.0009950482809273, -9.99976386828456, 0.9803811311721802, 1.9996884484597217, -3.000124702699054, 0.9803880453109741, 3.99947840183421, 1.000183853228748, -97, 94
